Type,Menu,Menu group,Sub groups,"Item, open item",Size modifier,"Modifiers, special requests",Sales Category,Item tags,Deferred,% of total qty sold,% of menu qty sold,% of group qty sold,% of total gross sales,% of menu gross sales,% of group gross sales,% of total discount amount,% of menu discount amount,% of group discount amount,% of total refund amount,% of menu refund amount,% of group refund amount,% of total net sales,% of menu net sales,% of group net sales,% of total tax,% of menu tax,% of group tax,% of total void amount,% of menu void amount,% of group void amount,% of total waste count,% of menu waste count,% of group waste count,% of total waste amount,% of menu waste amount,% of group waste amount,% of total voided gross sales,% of menu voided gross sales,% of group voided gross sales,% of total item qty incl. voids,% of menu item qty incl. voids,% of group item qty incl. voids,% of total gross amount incl. voids,% of menu gross amount incl. voids,% of group gross amount incl. voids,% of total voided qty sold,% of menu voided qty sold,% of group voided qty sold
menuItem,Drinks,Featured Cocktails,,Roman Holiday,,,,,false,0.08,0.56,10.34,0.08,0.96,10.62,0.00,0.00,,,,,0.09,0.97,10.62,0.09,0.97,10.61,0.00,0.00,,,,,,,,0.00,0.00,,0.08,0.55,10.34,0.08,0.94,10.62,0.00,0.00,
menuItem,Drinks,Featured Cocktails,,Limoncello Spritz,,,,[],false,0.49,3.56,65.52,0.50,5.71,63.05,0.00,0.00,,,,,0.51,5.76,63.05,0.52,5.77,63.13,0.00,0.00,,,,,,,,0.00,0.00,,0.48,3.46,65.52,0.49,5.55,63.05,0.00,0.00,
,Drinks,NA Bev,,,,,,,,6.49,47.09,100.00,1.58,18.07,100.00,1.45,38.95,100.00,,,,1.59,17.91,100.00,1.60,17.74,100.00,0.74,6.64,100.00,,,,,,,0.74,6.64,100.00,6.39,46.27,100.00,1.57,17.74,100.00,2.87,18.75,100.00
menuItem,Drinks,NA Bev,,Coke,,,NA Beverage,[],false,1.89,13.70,29.08,0.46,5.26,29.09,0.12,3.18,8.17,,,,0.47,5.27,29.43,0.47,5.21,29.36,0.55,4.93,74.17,,,,,,,0.55,4.93,74.17,1.89,13.66,29.53,0.46,5.25,29.57,1.91,12.50,66.67
menuItem,Drinks,NA Bev,,Diet Coke,,,NA Beverage,[],false,1.09,7.88,16.73,0.27,3.02,16.73,0.19,5.04,12.94,,,,0.27,3.01,16.80,0.27,2.97,16.74,0.00,0.00,0.00,,,,,,,0.00,0.00,0.00,1.06,7.65,16.54,0.26,2.94,16.56,0.00,0.00,0.00
menuItem,Drinks,NA Bev,,Dr Pepper,,,NA Beverage,[],false,1.29,9.38,19.92,0.32,3.60,19.92,0.54,14.42,37.02,,,,0.31,3.52,19.64,0.31,3.47,19.58,0.00,0.00,0.00,,,,,,,0.00,0.00,0.00,1.26,9.11,19.69,0.31,3.50,19.71,0.00,0.00,0.00
menuItem,Drinks,NA Bev,,Lemonade,,,NA Beverage,,false,0.13,0.94,1.99,0.03,0.36,1.99,0.00,0.00,0.00,,,,0.03,0.36,2.02,0.03,0.36,2.02,0.00,0.00,0.00,,,,,,,0.00,0.00,0.00,0.13,0.91,1.97,0.03,0.35,1.97,0.00,0.00,0.00
menuItem,Drinks,NA Bev,,Sprite,,,NA Beverage,[],false,0.54,3.94,8.37,0.13,1.51,8.37,0.00,0.00,0.00,,,,0.13,1.52,8.50,0.14,1.51,8.49,0.00,0.00,0.00,,,,,,,0.00,0.00,0.00,0.53,3.83,8.27,0.13,1.47,8.28,0.00,0.00,0.00
menuItem,Drinks,NA Bev,,Unsweet Tea,,,NA Beverage,[],false,0.44,3.19,6.77,0.11,1.22,6.77,0.27,7.25,18.62,,,,0.10,1.18,6.58,0.11,1.17,6.57,0.00,0.00,0.00,,,,,,,0.00,0.00,0.00,0.43,3.10,6.69,0.10,1.19,6.70,0.00,0.00,0.00
menuItem,Drinks,NA Bev,,Raspberry Tea,,,NA Beverage,[],false,0.26,1.88,3.98,0.06,0.72,3.98,0.00,0.00,0.00,,,,0.06,0.73,4.05,0.06,0.72,4.04,0.00,0.00,0.00,,,,,,,0.00,0.00,0.00,0.25,1.82,3.94,0.06,0.70,3.94,0.00,0.00,0.00
menuItem,Drinks,NA Bev,,Soda Water,,,NA Beverage,[],false,0.03,0.19,0.40,0.00,0.04,0.22,0.00,0.00,0.00,,,,0.00,0.04,0.23,0.00,0.04,0.22,0.00,0.00,0.00,,,,,,,0.00,0.00,0.00,0.03,0.18,0.39,0.00,0.04,0.22,0.00,0.00,0.00
menuItem,Drinks,NA Bev,,Italian Soda,,,NA Beverage,,false,0.03,0.19,0.40,0.01,0.08,0.44,0.00,0.00,0.00,,,,0.01,0.08,0.45,0.01,0.08,0.46,0.00,0.00,0.00,,,,,,,0.00,0.00,0.00,0.03,0.18,0.39,0.01,0.08,0.44,0.00,0.00,0.00
menuItem,Drinks,NA Bev,,Coffee,,,NA Beverage,[],false,0.44,3.19,6.77,0.10,1.19,6.60,0.34,9.06,23.25,,,,0.10,1.13,6.33,0.10,1.15,6.47,0.00,0.00,0.00,,,,,,,0.00,0.00,0.00,0.43,3.10,6.69,0.10,1.16,6.53,0.00,0.00,0.00
menuItem,Drinks,NA Bev,,Hot Tea,,,NA Beverage,[],false,0.05,0.38,0.80,0.01,0.10,0.55,0.00,0.00,0.00,,,,0.01,0.10,0.56,0.01,0.10,0.56,0.19,1.72,25.83,,,,,,,0.19,1.72,25.83,0.08,0.55,1.18,0.01,0.15,0.82,0.96,6.25,33.33
menuItem,Drinks,NA Bev,,Shirley Tmple,,,NA Beverage,[],false,0.31,2.25,4.78,0.08,0.96,5.31,0.00,0.00,0.00,,,,0.09,0.97,5.40,0.09,0.98,5.51,0.00,0.00,0.00,,,,,,,0.00,0.00,0.00,0.30,2.19,4.72,0.08,0.93,5.26,0.00,0.00,0.00
,Daily Specials,,,,,,,,,0.21,100.00,,0.23,100.00,,0.00,,,,,,0.23,100.00,,0.24,100.00,,0.00,,,,,,,,,0.00,,,0.20,100.00,,0.22,100.00,,0.00,,
,Daily Specials,Sunday AllUCanEatPasta,,,,,,,,0.21,100.00,100.00,0.23,100.00,100.00,0.00,,,,,,0.23,100.00,100.00,0.24,100.00,100.00,0.00,,,,,,,,,0.00,,,0.20,100.00,100.00,0.22,100.00,100.00,0.00,,
menuItem,Daily Specials,Sunday AllUCanEatPasta,,AllUCanEat Spaghetti meat sauce,,,Food,[],false,0.03,12.50,12.50,0.03,13.90,13.90,0.00,,,,,,0.03,13.90,13.90,0.03,13.83,13.83,0.00,,,,,,,,,0.00,,,0.03,12.50,12.50,0.03,13.90,13.90,0.00,,
menuItem,Daily Specials,Sunday AllUCanEatPasta,,AllUCanEat Fettuccine Alfredo,,,Food,[],false,0.18,87.50,87.50,0.20,86.10,86.10,0.00,,,,,,0.20,86.10,86.10,0.20,86.17,86.17,0.00,,,,,,,,,0.00,,,0.18,87.50,87.50,0.19,86.10,86.10,0.00,,
,Territory Days,,,,,,,,,6.52,100.00,,3.15,100.00,,0.00,,,,,,3.20,100.00,,3.28,100.00,,8.73,100.00,,,,,,,,8.73,100.00,,6.67,100.00,,3.27,100.00,,12.44,100.00,
,Territory Days,Supplies,,,,,,,,0.59,9.13,100.00,0.00,0.00,,0.00,,,,,,0.00,0.00,,0.00,0.00,,0.00,0.00,,,,,,,,0.00,0.00,,0.58,8.68,100.00,0.00,0.00,,0.00,0.00,
menuItem,Territory Days,Supplies,,More bread,,,,[],false,0.23,3.57,39.13,0.00,0.00,,0.00,,,,,,0.00,0.00,,0.00,0.00,,0.00,0.00,,,,,,,,0.00,0.00,,0.23,3.40,39.13,0.00,0.00,,0.00,0.00,
menuItem,Territory Days,Supplies,,More cannoli,,,,[],false,0.21,3.17,34.78,0.00,0.00,,0.00,,,,,,0.00,0.00,,0.00,0.00,,0.00,0.00,,,,,,,,0.00,0.00,,0.20,3.02,34.78,0.00,0.00,,0.00,0.00,
menuItem,Territory Days,Supplies,,More sandwich meat,,,,[],false,0.16,2.38,26.09,0.00,0.00,,0.00,,,,,,0.00,0.00,,0.00,0.00,,0.00,0.00,,,,,,,,0.00,0.00,,0.15,2.26,26.09,0.00,0.00,,0.00,0.00,
,Territory Days,Food,,,,,,,,5.92,90.87,100.00,3.15,100.00,100.00,0.00,,,,,,3.20,100.00,100.00,3.28,100.00,100.00,8.73,100.00,100.00,,,,,,,8.73,100.00,100.00,6.09,91.32,100.00,3.27,100.00,100.00,12.44,100.00,100.00
menuItem,Territory Days,Food,,Italian Beef Sandwich,,,,[],false,1.94,29.76,32.75,1.58,50.31,50.31,0.00,,,,,,1.61,50.31,50.31,1.65,50.35,50.35,5.52,63.16,63.16,,,,,,,5.52,63.16,63.16,2.04,30.57,33.47,1.67,51.08,51.08,5.74,46.15,46.15
menuItem,Territory Days,Food,,Italian Ice Pop,,,,[],false,1.27,19.44,21.40,0.09,2.74,2.74,0.00,,,,,,0.09,2.74,2.74,0.09,2.66,2.66,0.15,1.75,1.75,,,,,,,0.15,1.75,1.75,1.28,19.25,21.07,0.09,2.68,2.68,1.91,15.38,15.38
menuItem,Territory Days,Food,,Cannoli,,,,[],false,2.71,41.67,45.85,1.48,46.95,46.95,0.00,,,,,,1.50,46.95,46.95,1.54,46.99,46.99,3.06,35.09,35.09,,,,,,,3.06,35.09,35.09,2.77,41.51,45.45,1.51,46.24,46.24,4.78,38.46,38.46
,Open items,,,,,,,,,0.41,100.00,,3.06,100.00,,0.00,,,,,,3.11,100.00,,1.22,100.00,,0.00,,,,,,,,,0.00,,,0.40,100.00,,2.99,100.00,,0.00,,
,Open items,Open Drink,,,,,,,,0.10,25.00,100.00,0.26,8.57,100.00,0.00,,,,,,0.27,8.57,100.00,0.27,22.31,100.00,0.00,,,,,,,,,0.00,,,0.10,25.00,100.00,0.26,8.57,100.00,0.00,,
openItem,Open items,Open Drink,,Carpineto,,,,[],false,0.05,12.50,50.00,0.22,7.13,83.22,0.00,,,,,,0.22,7.13,83.22,0.23,18.57,83.21,0.00,,,,,,,,,0.00,,,0.05,12.50,50.00,0.21,7.13,83.22,0.00,,
openItem,Open items,Open Drink,,Shot,,,,[],false,0.03,6.25,25.00,0.01,0.46,5.37,0.00,,,,,,0.01,0.46,5.37,0.01,1.21,5.41,0.00,,,,,,,,,0.00,,,0.03,6.25,25.00,0.01,0.46,5.37,0.00,,
openItem,Open items,Open Drink,,Spl Cocktail,,,,[],false,0.03,6.25,25.00,0.03,0.98,11.41,0.00,,,,,,0.03,0.98,11.41,0.03,2.54,11.38,0.00,,,,,,,,,0.00,,,0.03,6.25,25.00,0.03,0.98,11.41,0.00,,
,Open items,Open Food,,,,,,,,0.31,75.00,100.00,2.79,91.43,100.00,0.00,,,,,,2.84,91.43,100.00,0.95,77.69,100.00,0.00,,,,,,,,,0.00,,,0.30,75.00,100.00,2.73,91.43,100.00,0.00,,
openItem,Open items,Open Food,,1\2  Bread Plate W Oil,,,,[],false,0.03,6.25,8.33,0.00,0.12,0.13,0.00,,,,,,0.00,0.12,0.13,0.00,0.29,0.38,0.00,,,,,,,,,0.00,,,0.03,6.25,8.33,0.00,0.12,0.13,0.00,,
openItem,Open items,Open Food,,Catering,,,,[],false,0.05,12.50,16.67,1.00,32.82,35.90,0.00,,,,,,1.02,32.82,35.90,0.91,74.93,96.45,0.00,,,,,,,,,0.00,,,0.05,12.50,16.67,0.98,32.82,35.90,0.00,,
openItem,Open items,Open Food,,Catering In House,,,,[],false,0.03,6.25,8.33,1.76,57.54,62.93,0.00,,,,,,1.79,57.54,62.93,0.00,0.00,0.00,0.00,,,,,,,,,0.00,,,0.03,6.25,8.33,1.72,57.54,62.93,0.00,,
openItem,Open items,Open Food,,Chicken Breast,,,,[],false,0.03,6.25,8.33,0.01,0.26,0.28,0.00,,,,,,0.01,0.26,0.28,0.01,0.68,0.87,0.00,,,,,,,,,0.00,,,0.03,6.25,8.33,0.01,0.26,0.28,0.00,,
openItem,Open items,Open Food,,Ex Carb,,,,[],false,0.03,6.25,8.33,0.01,0.17,0.19,0.00,,,,,,0.01,0.17,0.19,0.01,0.46,0.59,0.00,,,,,,,,,0.00,,,0.03,6.25,8.33,0.01,0.17,0.19,0.00,,
openItem,Open items,Open Food,,Gluten Free Pasta,,,,[],false,0.03,6.25,8.33,0.01,0.23,0.25,0.00,,,,,,0.01,0.23,0.25,0.01,0.60,0.78,0.00,,,,,,,,,0.00,,,0.03,6.25,8.33,0.01,0.23,0.25,0.00,,
openItem,Open items,Open Food,,Half Bread Plate,,,,[],false,0.03,6.25,8.33,0.00,0.14,0.16,0.00,,,,,,0.00,0.14,0.16,0.00,0.37,0.47,0.00,,,,,,,,,0.00,,,0.03,6.25,8.33,0.00,0.14,0.16,0.00,,
openItem,Open items,Open Food,,Half Bread Plate,,,,,false,0.03,6.25,8.33,0.00,0.14,0.16,0.00,,,,,,0.00,0.14,0.16,0.00,0.37,0.47,0.00,,,,,,,,,0.00,,,0.03,6.25,8.33,0.00,0.14,0.16,0.00,,
openItem,Open items,Open Food,,Red Saucd,,,,[],false,0.03,6.25,8.33,0.00,0.00,0.00,0.00,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,0.00,,,0.03,6.25,8.33,0.00,0.00,0.00,0.00,,
openItem,Open items,Open Food,,Shellfish Allergy,,,,[],false,0.05,12.50,16.67,0.00,0.00,0.00,0.00,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,0.00,,,0.05,12.50,16.67,0.00,0.00,0.00,0.00,,
