masterId,parentId,itemGuid,Item,Sales Category,Item tags,Deferred,Qty sold,Avg. price,Item COGS,Gross sales,Discount amount,Refund amount,Void amount,Net sales,COGS,Gross profit,Gross margin (%),Tax,Waste count,Waste amount,Voided gross sale,Voided qty sold,Item qty incl. voids,Gross amount incl. voids
1300000000070704258,1300000000070704246,8d5d74fa-8f76-4fa0-a5e9-023a008cca16,Caprese,Food,[],false,44.0,12.00,,528.0,9.97,0.0,0.0,518.03,,,,42.67,0.0,0.0,0.0,0.0,44.00,528.00
1300000000070704254,1300000000070704246,ce57b41f-6e70-4efa-949c-120b0f412eba,House LG,Food,[],false,15.0,8.00,,120.0,4.47,0.0,0.0,115.53,,,,9.52,0.0,0.0,0.0,0.0,15.00,120.00
1300000000070704252,1300000000070704246,98e414fd-2d73-4b72-b713-3e646e2aafc8,House SM,Food,[],false,54.0,6.00,,324.0,13.47,0.0,18.0,310.53,,,,24.91,0.0,0.0,18.0,3.0,57.00,342.00
1300000000070704260,1300000000070704246,61f8295c-9c70-4736-a99c-574e124b1eec,Tomato/Cucumber,Food,[],false,18.0,8.00,,144.0,0.0,0.0,0.0,144.0,,,,11.88,0.0,0.0,0.0,0.0,18.00,144.00
1300000000070704256,1300000000070704246,e0d0b0ac-d5af-4aae-92e4-76b66f971ec2,Wedge,Food,[],false,43.0,10.05,,432.0,11.29,0.0,0.0,420.71,,,,34.47,0.0,0.0,0.0,0.0,43.00,432.00
1300000000070704286,1300000000070704262,af307fc4-7f10-41bc-b773-4bc70e2f65b8,Chicken Caesar Salad,Food,[],false,8.0,13.00,,104.0,0.0,0.0,0.0,104.0,,,,8.56,0.0,0.0,0.0,0.0,8.00,104.00
1300000000070704284,1300000000070704262,691028e7-7d2e-4f28-bdd2-bfa3241f729b,Chicken Parm,Food,[],false,138.0,23.57,,3252.5,52.72,0.0,25.0,3199.78,,,,262.73,0.0,0.0,25.0,1.0,139.00,3277.50
1300000000070704298,1300000000070704262,9b8c79c5-5729-4941-b74c-b4fc9d584c28,Clams Dinner,Food,[],false,6.0,24.33,,146.0,0.0,0.0,24.0,146.0,,,,12.03,0.0,0.0,24.0,1.0,7.00,170.00
1300000000070704282,1300000000070704262,5cdb06e0-6056-4eb7-b888-d57cfab8e369,Eggplant Parm,Food,[],false,102.0,21.94,,2238.0,82.73,0.0,0.0,2155.27,,,,176.6,0.0,0.0,0.0,0.0,102.00,2238.00
1300000000070704280,1300000000070704262,2d817458-6638-4e51-a505-327c1783ffcc,Lasagna,Food,[],false,220.0,21.10,,4642.5,134.44,0.0,42.0,4508.06,,,,369.17,0.0,0.0,42.0,2.0,222.00,4684.50
