Type,masterId,parentId,itemGuid,Menu,Menu group,Subgroup,"Item, open item",Size modifier,"Modifiers, special requests",Sales Category,Item tags,Deferred,Qty sold,Avg. price,Item COGS,Gross sales,Discount amount,Refund amount,Void amount,Net sales,COGS,Gross profit,Gross margin (%),Tax,Waste count,Waste amount,Voided gross sale,Voided qty sold,Item qty incl. voids,Gross amount incl. voids
menuItem,1300000000070704284,1300000000070704262,691028e7-7d2e-4f28-bdd2-bfa3241f729b,Food,Entree,,Chicken Parm,,,Food,[],false,138.0,23.57,,3252.5,52.72,0.0,25.0,3199.78,,,,262.73,0.0,0.0,25.0,1.0,139.00,3277.50
menuItem,1300000000070704298,1300000000070704262,9b8c79c5-5729-4941-b74c-b4fc9d584c28,Food,Entree,,Clams Dinner,,,Food,[],false,6.0,24.33,,146.0,0.0,0.0,24.0,146.0,,,,12.03,0.0,0.0,24.0,1.0,7.00,170.00
menuItem,1300000000070704282,1300000000070704262,5cdb06e0-6056-4eb7-b888-d57cfab8e369,Food,Entree,,Eggplant Parm,,,Food,[],false,102.0,21.94,,2238.0,82.73,0.0,0.0,2155.27,,,,176.6,0.0,0.0,0.0,0.0,102.00,2238.00
menuItem,1300000000070704280,1300000000070704262,2d817458-6638-4e51-a505-327c1783ffcc,Food,Entree,,Lasagna,,,Food,[],false,220.0,21.10,,4642.5,134.44,0.0,42.0,4508.06,,,,369.17,0.0,0.0,42.0,2.0,222.00,4684.50
menuItem,1300000000070704296,1300000000070704262,72845763-15be-40fc-b93e-12572a07e349,Food,Entree,,Mussels Dinner,,,Food,[],false,22.0,23.18,,510.0,18.22,0.0,46.0,491.78,,,,40.39,0.0,0.0,46.0,2.0,24.00,556.00
menuItem,1300000000070704300,1300000000070704262,2a5a095a-ff55-4fcd-a194-1c2a7a41663e,Food,Entree,,Pangasius,,,Food,[],false,18.0,24.33,,438.0,0.0,0.0,0.0,438.0,,,,36.1,0.0,0.0,0.0,0.0,18.00,438.00
menuItem,1300000000070704268,1300000000070704262,acf87d38-4688-4cda-be06-4edcca970a6a,Food,Entree,,Pasta Alfredo,,,Food,[],false,152.0,23.74,,3609.0,71.68,0.0,203.0,3537.32,,,,289.3,0.0,0.0,203.0,8.0,160.00,3812.00
menuItem,1300000000070704270,1300000000070704262,1ae3e879-ac95-4ba7-a903-af40d00bc2ea,Food,Entree,,Pasta Carbonara,,,Food,[],false,172.5,25.23,,4351.76,64.21,0.0,68.25,4287.55,,,,351.39,0.0,0.0,68.25,2.5,175.00,4420.01
menuItem,1300000000070704272,1300000000070704262,ec3ac15c-2bb5-4367-b3e3-f9940726b8db,Food,Entree,,Pasta Pesto,,,Food,[],false,136.0,24.32,,3307.5,15.54,0.0,29.5,3291.96,,,,269.67,0.0,0.0,29.5,1.0,137.00,3337.00
menuItem,1300000000070704276,1300000000070704262,6e1e1a12-f4a0-4e9e-9026-51e0aae1e140,Food,Entree,,Primavera,,,Food,[],false,42.0,18.76,,788.0,23.21,0.0,26.0,764.79,,,,62.52,0.0,0.0,26.0,1.0,43.00,814.00
menuItem,1300000000070704278,1300000000070704262,f6b905ff-465c-40cb-be71-ec8b201e48dd,Food,Entree,,RED Primavera,,,Food,[],false,5.0,18.00,,90.0,0.0,0.0,0.0,90.0,,,,7.35,0.0,0.0,0.0,0.0,5.00,90.00
menuItem,1300000000070704294,1300000000070704262,31ff20f6-bf44-4ba3-9185-35036c3732d6,Food,Entree,,Scampi,,,Food,[],false,35.0,24.06,,842.0,13.11,0.0,0.0,828.89,,,,68.36,0.0,0.0,0.0,0.0,35.00,842.00
menuItem,1300000000070704292,1300000000070704262,13576378-6393-4f56-a88a-4bf3ceaf8150,Food,Entree,,Sorrentino,,,Food,[],false,27.0,24.56,,663.0,30.14,0.0,0.0,632.86,,,,52.1,0.0,0.0,0.0,0.0,27.00,663.00
menuItem,1300000000070704288,1300000000070704262,cb55d80d-3c69-4e12-af5a-f8ebe289021a,Food,Entree,,Spag Pie,,,Food,[],false,62.0,19.23,,1192.0,39.18,0.0,0.0,1152.82,,,,94.17,0.0,0.0,0.0,0.0,62.00,1192.00
menuItem,1300000000070704264,1300000000070704262,0f471da8-686f-42d8-a54f-bad7a5c56646,Food,Entree,,Spaghetti,,,Food,[],false,42.0,15.00,,630.0,0.0,0.0,14.0,630.0,,,,51.71,0.0,0.0,14.0,1.0,43.00,644.00
menuItem,1300000000070704266,1300000000070704262,2fc2cf4c-c17c-4cc5-b9dd-a0df336a35a0,Food,Entree,,Spaghetti & Meatballs,,,Food,[],false,75.0,20.35,,1526.0,31.57,0.0,0.0,1494.43,,,,122.56,0.0,0.0,0.0,0.0,75.00,1526.00
menuItem,1300000000070704274,1300000000070704262,e5952ef0-b957-4a3d-b3db-5e2ef48b4e13,Food,Entree,,White truffle Chicken,,,Food,[],false,85.0,24.47,,2080.0,41.13,0.0,48.0,2038.87,,,,167.95,0.0,0.0,48.0,2.0,87.00,2128.00
menuItem,1300000000070704290,1300000000070704262,2ed97fab-db04-4314-8765-1e877b84f491,Food,Entree,,Zucc Patty Pasta,,,Food,[],false,16.0,16.75,,268.0,18.27,0.0,0.0,249.73,,,,20.42,0.0,0.0,0.0,0.0,16.00,268.00
"",1300000000070704302,,6c07db05-ae4d-4273-883f-a2c89978ad3b,Food,Kids Meal,,,,,,,,49.0,8.32,,407.5,1.2,0.0,24.0,406.3,,,,33.48,0.0,0.0,24.0,3.0,52.00,431.50
menuItem,1300000000070704308,1300000000070704302,23531bc7-bae6-4c5a-843f-a7a783438298,Food,Kids Meal,,Cheese Pizza Bread,,,Food,[],false,2.0,8.00,,16.0,0.0,0.0,16.0,16.0,,,,1.32,0.0,0.0,16.0,2.0,4.00,32.00
