Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Table Service,55756.31,1817,30.69,841,71.64,754,73.95,38.54
Total,55756.31,1817,30.69,841,71.64,754,73.95,38.54
